Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
1,384.168,0,0,0,0,2380000,10000,1330000,46410000,5090000,43360000,6100000,780000,42482140000,3899760000,119369770000,5372400000,0,0,0,0,0,0,0,0,0,0,0,0,1177500000,0,0,0,0,0,0,0,5879550000
2,384.168,0,0,0,0,2680000,30000,800000,46130000,4790000,41630000,6350000,730000,44404810000,16780310000,34561750000,127811100000,0,0,0,0,0,0,0,0,0,0,0,0,1215870000,0,0,0,0,0,0,0,4869970000
3,384.167,45460000,7080000,4590000,70000,3970000,10000,4930000,126510000,18210000,236790000,15970000,1870000,32436310000,4502190000,160150530000,46922230000,220000,18720000,10000,150000,20000,860000,1150000,430000,21560000,0,2160000,500000,2002540000,50000,20000,30000,70000,9340000,40000,4650000,10957240000
4,384.168,1524920000,863950000,647560000,27000000,304060000,70000,8410000,128640000,24510000,262600000,14720000,1010000,41677830000,14536890000,104162530000,5465190000,38950000,191920000,1190000,5850000,1650000,7340000,12100000,8990000,267990000,40000,54210000,55520000,2318730000,16120000,2120000,6190000,17760000,141260000,760000,99060000,9086720000
5,384.168,4148430000,3082410000,2448580000,134300000,99470000,230000,5300000,115680000,25920000,202960000,12020000,1430000,30448830000,94312010000,19446040000,2674110000,110470000,186130000,2710000,12180000,3790000,7280000,9630000,14610000,346800000,150000,98010000,147810000,1420160000,46970000,7550000,20370000,76610000,136960000,660000,184310000,5252940000
6,384.167,5533670000,5105770000,4169500000,54560000,153450000,100000,2030000,56030000,10400000,86860000,7870000,560000,36787830000,4319410000,20245190000,1292330000,39140000,38490000,700000,3090000,1140000,1640000,1810000,3600000,89610000,50000,27560000,64440000,557710000,98740000,2760000,31290000,25320000,27340000,110000,60720000,3684630000
7,384.168,6034010000,4288730000,3480810000,111160000,114060000,380000,4480000,83890000,19360000,180790000,9420000,1310000,27270350000,4961630000,15733070000,9628570000,154050000,96860000,1650000,8380000,2400000,3400000,4490000,10350000,281580000,110000,73490000,119950000,1075360000,875860000,6910000,92610000,67450000,81650000,300000,145490000,5448930000
8,384.168,7060400000,5525460000,4500850000,207030000,150370000,220000,4920000,103980000,25050000,187620000,10310000,2130000,24234610000,4496030000,21821330000,2479430000,215660000,131890000,2440000,12380000,6830000,4600000,5880000,14870000,394550000,200000,97110000,172800000,1049280000,360890000,10700000,54210000,113240000,120570000,400000,210470000,4906480000
9,384.167,8088030000,6483780000,5336600000,223040000,164610000,310000,4580000,104620000,25630000,177330000,10580000,2370000,22139110000,4287570000,12577400000,1937610000,246340000,117380000,2960000,14530000,7970000,4400000,4890000,14800000,413270000,220000,132650000,237770000,956370000,308630000,11790000,48050000,121210000,111820000,350000,218710000,3745900000
10,384.168,8864520000,7450930000,6153460000,305020000,201760000,220000,3480000,96960000,23970000,158160000,11370000,2260000,21320270000,8221880000,78609720000,2486860000,273810000,99480000,1880000,14800000,6450000,3330000,4100000,13830000,417680000,320000,88290000,163020000,801120000,290100000,10740000,48020000,112540000,93860000,380000,188960000,3671710000
