Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
1,3842,18063050000,2683840000,2265640000,53750000,24350000,0,52080000,5540000,4690000,83670000,20860000,233840000,15150370000,1407570000,57529280000,6482900000,85340000,1125930000,848870000,169130000,19050000,94040000,306040000,172250000,2820650000,592640000,8007310000,524670000,1008480000,19370000,1058680000,29650000,64500000,446890000,177970000,2229520000,592640000
2,3842,19543970000,2765670000,2363760000,67180000,18070000,10000,51480000,5630000,4730000,85780000,16940000,230040000,16160650000,1682100000,61127670000,6469630000,71710000,1264560000,894860000,174370000,30030000,102860000,310420000,219700000,3068510000,620760000,9014180000,432430000,534960000,19000000,1050160000,15640000,79600000,483040000,204470000,2411280000,620760000
3,3841,21446580000,3210290000,2661920000,53970000,23770000,10000,58370000,5790000,4760000,90020000,21360000,352200000,17406830000,1672100000,75187100000,6652040000,32380000,1498710000,1087540000,224560000,18760000,96570000,439880000,208930000,3607330000,701570000,9517380000,322870000,858620000,20330000,1228670000,25460000,84170000,613320000,202500000,2614280000,701570000
4,3842,23891870000,3376020000,2838500000,56600000,19030000,40000,61050000,5950000,4990000,96730000,24610000,342340000,21367490000,1921080000,81176530000,7595610000,34180000,1591560000,1388480000,181840000,16800000,97450000,491140000,233460000,4034910000,750040000,10692420000,384920000,658780000,20020000,1539010000,11140000,95960000,668680000,205560000,2863240000,750040000
5,3841,27066270000,3671390000,3110230000,63760000,19190000,550000,62390000,5820000,4930000,103700000,21510000,371300000,21316850000,2307330000,100547650000,23796030000,34730000,1852860000,1674980000,198830000,3890000,141700000,659660000,306450000,4873100000,825260000,12199410000,332310000,1396410000,20680000,1722870000,20500000,59220000,782920000,289860000,3094040000,825260000
6,3842,31519330000,4290530000,3539010000,75620000,19310000,40000,94760000,5910000,4970000,114030000,20870000,521730000,22967840000,2360530000,117768300000,10224720000,31410000,2114610000,1886670000,163680000,28280000,191640000,760100000,372630000,5549020000,943100000,14475350000,389530000,1405500000,20660000,1944400000,21230000,60620000,796960000,429130000,3541870000,943100000
7,3842,38172330000,4835570000,3974120000,55020000,16830000,0,75770000,5740000,4750000,107940000,36650000,634460000,35084610000,2941910000,139075670000,11821330000,46140000,2532680000,2427120000,261440000,13180000,207690000,970370000,353560000,6812180000,1062960000,17638620000,354440000,1029900000,21720000,2348510000,35320000,122140000,1038780000,554160000,4410870000,1062960000
8,3841,49383340000,6356990000,5129060000,63630000,19250000,0,102420000,5930000,5110000,115520000,33730000,967730000,28821410000,2926450000,178246130000,14044570000,31090000,3140610000,3398730000,335490000,9360000,283000000,1425220000,612670000,9236170000,1379920000,22652140000,340340000,1923150000,21040000,3046720000,37660000,87510000,1258510000,858030000,5488210000,1379920000
9,3842,72444550000,8178810000,6661290000,75550000,16180000,30000,132090000,5910000,4800000,119440000,42370000,1224670000,34897610000,3905710000,260772540000,21384970000,86470000,4292800000,6407170000,362110000,3260000,407930000,2310190000,764370000,14634300000,1801270000,32805870000,322780000,1875330000,22470000,3676040000,128620000,163550000,1891030000,1834950000,8786110000,1801270000
10,3841,247744880000,15244450000,12284090000,79830000,18100000,10000,227750000,6200000,5030000,173620000,80490000,2535610000,57433210000,10763420000,1015599610000,58716810000,216630000,13529920000,30983200000,696330000,27250000,3176690000,13590080000,2617450000,64837550000,3347740000,102522290000,675790000,7734350000,24150000,7454680000,636400000,786980000,7005580000,18367900000,30189100000,3347740000
